Part #,Part Title,Description,Length,Width,Height,weight,MSRP/List,MAP,Tier 1,Tier 2,Tier 3,Fitment(year range/make/model/liter),Warranty
M7427160-V1,Marine solid mount,6 phase hairpin,9,9,9,17,$359 ,,10,15,20,,2
M7427240-V1,Marine solid mount,6 phase hairpin,9,9,9,17,$459 ,,10,15,20,,2
M7427300-V1,Marine solid mount,6 phase hairpin,9,9,9,17,$549 ,,10,15,20,,2
M12107170-V2,Marine Saddle mount,6 phase hairpin,9,9,9,17,$359 ,,10,15,20,,2
M12107240-V2,Marine Saddle mount,6 phase hairpin,9,9,9,17,$459 ,,10,15,20,,2
M12107300-V2,Marine Saddle mount,6 phase hairpin,9,9,9,17,$549 ,,10,15,20,,2
13980-240,Acura ,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2006-2008 Acura CSX 2.0 ,2
13980-320,Acura ,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2006-2008 Acura CSX 2.0 ,2
13433-240,Acura,240amp hairpin,9,9,9,17,$399 ,,10,15,20,1992-1993 Acura Integra 1.7,2
13433-320,Acura,320amp hairpin,9,9,9,17,$499 ,,10,15,20,1992-1993 Acura Integra 1.7,2
13529-240,Acura,240amp hairpin,9,9,9,17,$399 ,,10,15,20,1994-1995 Acura Integra 1.7,2
13529-320,Acura,320amp hairpin,9,9,9,17,$499 ,,10,15,20,1994-1995 Acura Integra 1.7,2
13677-240,Acura,240amp hairpin,9,9,9,17,$399 ,,10,15,20,1996-2001 Acura Integra 1.7,2
13677-320,Acura,320amp hairpin,9,9,9,17,$499 ,,10,15,20,1996-2001 Acura Integra 1.7,2
13433-240,Acura,240amp hairpin,9,9,9,17,$399 ,,10,15,20,1992-1993 Acura Integra 1.8,2
13433-320,Acura,320amp hairpin,9,9,9,17,$499 ,,10,15,20,1992-1993 Acura Integra 1.8,2
13529-240,Acura,240amp hairpin,9,9,9,17,$399 ,,10,15,20,1994-1995 Acura Integra 1.8,2
13529-320,Acura,320amp hairpin,9,9,9,17,$499 ,,10,15,20,1994-1995 Acura Integra 1.8,2
13677-240,Acura,240amp hairpin,9,9,9,17,$399 ,,10,15,20,1996-2001 Acura Integra 1.8,2
13677-320,Acura,320amp hairpin,9,9,9,17,$499 ,,10,15,20,1996-2001 Acura Integra 1.8,2
11151-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2003-2009 Acura MDX 3.5,2
11151-320,Acura,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2003-2009 Acura MDX 3.5,2
11391-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2010-2013 Acura MDX 3.7,2
11391-320,Acura,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2010-2013 Acura MDX 3.7,2
11154-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2007-2009 Acura RDX 2.3,2
11154-320,Acura,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2007-2009 Acura RDX 2.3,2
11151-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2005-2008 Acura RL 3.5,2
11151-320,Acura,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2005-2008 Acura RL 3.5,2
11391-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2009 Acura 3.7,2
11391-320,Acura,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2009 Acura 3.7,2
11151-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2004-2008 Acura TL 3.2,2
11151-320,Acura,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2004-2008 Acura TL 3.2,2
11151-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2004-2008 Acura TL 3.5,2
11151-320,Acura,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2004-2008 Acura TL 3.5,2
11391-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2009-2014 Acura TL 3.5,2
11391-320,Acura,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2009-2014 Acura TL 3.5,2
11391-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2009-2014 Acura TL 3.7,2
11391-320,Acura,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2009-2014 Acura TL 3.7,2
13980-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2004-2008 Acura TSX 2.4,2
13980-320,Acura,320 amp hairpin,9,9,9,17,$459 ,,10,15,20,2004-2008 Acura TSX 2.4,2
11390-240,Acura,240amp hairpin,9,9,9,17,$359 ,,10,15,20,2009-2013 Acura TSX 2.4,2
11390-320,Acura,320amp hairpin,9,9,9,17,$459 ,,10,15,20,2009-2013 Acura TSX 2.4,2
55555-300,Audi ,300amp 6 phase,9,9,9,17,$499 ,,10,15,20,A3 & A3 Quattro 2.0L 2008-2013,
55555-300,Audi ,300amp 6 phase,9,9,9,17,$499 ,,10,15,20,A4 & A4 Quattro 1.8 2.0L 2002-2014,
55555-300,Audi ,300amp 6 phase,9,9,9,17,$499 ,,10,15,20,A5 & A5 Quattro 2.0L 2010-2012,
55555-300,Audi ,300amp 6 phase,9,9,9,17,$499 ,,10,15,20,A6 & A5 Quattro 3.2L 2005-2014,
55555-300,Audi ,300amp 6 phase,9,9,9,17,$499 ,,10,15,20,TT & TT Quattro 2.0L 2008-2009,
55555-300,Audi ,300amp 6 phase,9,9,9,17,$499 ,,10,15,20,S4 3.0L 2010-2014,
20136-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2005-2012 120i 2.0,
20136-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2005-2012 120i 2.0,
20136-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2005-2012 120i 2.0,
11302-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2008-2010 135i L6 3.0L,
11302-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2009-2010 335d L6 3.0L,
11302-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2007-2010 335i L6 3.0L ,
11302-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2009-2010 335i xDrive L6 3.0L,
11302-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2011-2013 335is L6 3.0L,
11302-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2007-2008 335xi L6 3.0L,
11302-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2008-2010 535i L6 3.0L,
11302-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2009-2010 535i xDrive L6 3.0L,
11302-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2008 535xi L6 3.0L,
11302-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2008-2010 135i L6 3.0L,
11302-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2009-2010 335d L6 3.0L,
11302-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2007-2010 335i L6 3.0L ,
11302-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2009-2010 335i xDrive L6 3.0L,
11302-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2011-2013 335is L6 3.0L,
11302-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2007-2008 335xi L6 3.0L,
11302-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2008-2010 535i L6 3.0L,
11302-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2009-2010 535i xDrive L6 3.0L,
11302-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2008 535xi L6 3.0L,
11302-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2008-2010 135i L6 3.0L,
11302-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2009-2010 335d L6 3.0L,
11302-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2007-2010 335i L6 3.0L,
11302-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2009-2010 335i xDrive L6 3.0L,
11302-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2011-2013 335is L6 3.0L,
11302-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2007-2008 335xi L6 3.0L,
11302-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2008-2010 535i L6 3.0L,
11302-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2009-2010 535i xDrive L6 3.0L,
11302-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2008 535xi L6 3.0L,
11753-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012-2013 135i L6 3.0L,
11753-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012-2013 335i L6 3.0L,
11753-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013 335i xDrive L6 3.0L,
11753-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2015 X1 L6 3.0L,
11753-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2012-2013 135i L6 3.0L,
11753-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2012-2013 335i L6 3.0L,
11753-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2013 335i xDrive L6 3.0L,
11753-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2013-2015 X1 L6 3.0L,
11753-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2012-2013 135i L6 3.0L,
11753-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2012-2013 335i L6 3.0L,
11753-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2013 335i xDrive L6 3.0L,
11753-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2013-2015 X1 L6 3.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2014-2016 228i L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2015-2016 228i xDrive L42.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2016 320i L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2016 320i xDrive L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012-2016 328i L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012 328i L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2014-2016 328i GT xDrive L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2016 328i xDrive L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2014-2016 428i L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2015-2016 428i Gran Coupe L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2014-2016 428i xDrive L4 20L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2015-2016 428i xDrive Gran Coupe L4 20L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012-2016 528i L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012-2016 528i xDrive L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012-2016 Z4 L4 2.0L,
14203-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2016 X3 L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2014-2016 228i L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2015-2016 228i xDrive L42.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2013-2016 320i L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2013-2016 320i xDrive L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2012-2016 328i L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2012 328i L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2014-2016 328i GT xDrive L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2013-2016 328i xDrive L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2014-2016 428i L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2015-2016 428i Gran Coupe L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2014-2016 428i xDrive L4 20L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2015-2016 428i xDrive Gran Coupe L4 20L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2012-2016 528i L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2012-2016 528i xDrive L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2012-2016 Z4 L4 2.0L,
14203-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2013-2016 X3 L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2014-2016 228i L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2015-2016 228i xDrive L42.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2013-2016 320i L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2013-2016 320i xDrive L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2012-2016 328i L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2012 328i L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2014-2016 328i GT xDrive L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2013-2016 328i xDrive L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2014-2016 428i L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2015-2016 428i Gran Coupe L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2014-2016 428i xDrive L4 20L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2015-2016 428i xDrive Gran Coupe L4 20L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2012-2016 528i L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2012-2016 528i xDrive L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2012-2016 Z4 L4 2.0L,
14203-370,BMW,370amp hairpin,9,9,9,17,$659 ,,10,15,20,2013-2016 X3 L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2014-2016 228i L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2015-2016 228i xDrive L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2016 320i L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2016 320i xDrive L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012-2016 328i GT xDrive L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012 328i L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2014-2016 328i GT xDrive L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2016 328i xDrive L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2014-2016 428i L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2015-2016 428i Gran Coupe L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2014-2016 428i xDrive L4 20L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2015-2016 428i xDrive Gran Coupe L4 20L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012-2016 528i xDrive L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2012-2016 528i xDrive L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2016 528i xDrive L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2015 X1 L4 2.0L,
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2013-2016 X3 L4 2.0L,2
14204-250,BMW,250amp hairpin,9,9,9,17,$459 ,,10,15,20,2015-2016 X4 L4 2.0L,2
14204-300,BMW,300amp hairpin,9,9,9,17,$559 ,,10,15,20,2014-2016 228i L4 2.0L,2
